School name,Ofsted region,Region,Local authority,Parliamentary constituency,Postcode,Latitude,Longitude
Ethelred Nursery School and Children's Centre,London,London,Lambeth,Vauxhall,SE11 6BG,51.49099,-0.112
Maytree Nursery School,London,London,Lambeth,Streatham,SW4 8EG,51.45156,-0.13104
Holmewood Nursery School,London,London,Lambeth,Streatham,SW2 2RW,51.4477,-0.12006
Ashmole Primary School,London,London,Lambeth,Vauxhall,SW8 1NT,51.48201,-0.11493
Clapham Manor Primary School,London,London,Lambeth,Vauxhall,SW4 0BZ,51.46463,-0.13794
Granton Primary School,London,London,Lambeth,Streatham,SW16 5AN,51.4142,-0.14173
Heathbrook Primary School,London,London,Lambeth,Vauxhall,SW8 3EH,51.47011,-0.14314
Henry Cavendish Primary School,London,London,Lambeth,Streatham,SW12 0JA,51.44474,-0.1428
Jessop Primary School,London,London,Lambeth,Dulwich and West Norwood,SE24 0BJ,51.46003,-0.10136
Kingswood Primary School,London,London,Lambeth,Dulwich and West Norwood,SE27 9RD,51.42689,-0.09007
Lark Hall Primary School (Including Lark Hall Centre for Pupils with Autism),London,London,Lambeth,Vauxhall,SW4 6PH,51.47066,-0.12956
Paxton Primary School,London,London,Lambeth,Dulwich and West Norwood,SE19 1PA,51.42226,-0.08083
Richard Atkins Primary School,London,London,Lambeth,Streatham,SW2 4JP,51.44808,-0.12695
Stockwell Primary School,London,London,Lambeth,Vauxhall,SW9 9TG,51.46643,-0.11735
Sudbourne Primary School,London,London,Lambeth,Streatham,SW2 5AP,51.45808,-0.12076
Sunnyhill Primary School,London,London,Lambeth,Streatham,SW16 2UW,51.42931,-0.12231
Telferscot Primary School,London,London,Lambeth,Streatham,SW12 0HW,51.44273,-0.13776
Vauxhall Primary School,London,London,Lambeth,Vauxhall,SE11 5LG,51.48956,-0.11733
Walnut Tree Walk Primary School,London,London,Lambeth,Vauxhall,SE11 6DS,51.49408,-0.11285
Woodmansterne School,London,London,Lambeth,Streatham,SW16 5XE,51.41238,-0.13655
Wyvil Primary School and Centres for Children With Speech and Language Impairment and Autism,London,London,Lambeth,Vauxhall,SW8 2TJ,51.48129,-0.12545
Crown Lane Primary School,London,London,Lambeth,Dulwich and West Norwood,SW16 3HX,51.42343,-0.10902
Fenstanton Primary School,London,London,Lambeth,Streatham,SW2 3PW,51.44224,-0.11365
Elm Wood School,London,London,Lambeth,Dulwich and West Norwood,SE27 9RR,51.43168,-0.09246
Allen Edwards Primary School,London,London,Lambeth,Vauxhall,SW4 6RP,51.47287,-0.12721
Glenbrook Primary School,London,London,Lambeth,Streatham,SW4 8LD,51.45307,-0.1329
Julian's School,London,London,Lambeth,Dulwich and West Norwood,SE27 0JF,51.43084,-0.10559
Herbert Morrison Primary School,London,London,Lambeth,Vauxhall,SW8 2HP,51.47865,-0.12589
Streatham Wells Primary School,London,London,Lambeth,Streatham,SW2 3NJ,51.44022,-0.11634
Archbishop Sumner Church of England Primary School,London,London,Lambeth,Vauxhall,SE11 4PH,51.49159,-0.10996
Christ Church Primary SW9,London,London,Lambeth,Vauxhall,SW9 6HN,51.47616,-0.109
Macaulay Church of England Primary School,London,London,Lambeth,Vauxhall,SW4 0NU,51.46325,-0.14767
St Andrew's Church of England Primary School,London,London,Lambeth,Vauxhall,SW9 9DE,51.46834,-0.12235
St John the Divine Church of England Primary School,London,London,Lambeth,Camberwell and Peckham,SE5 0SX,51.47871,-0.10325
St John's Angell Town Church of England Primary School,London,London,Lambeth,Dulwich and West Norwood,SW9 7HH,51.46805,-0.10854
St Jude's Church of England Primary School,London,London,Lambeth,Dulwich and West Norwood,SE24 0EL,51.45476,-0.10556
St Mark's Church of England Primary School,London,London,Lambeth,Vauxhall,SE11 5SL,51.48457,-0.11731
St Saviour's Church of England Primary School,London,London,Lambeth,Dulwich and West Norwood,SE24 0AY,51.46247,-0.09766
St Stephen's Church of England Primary School,London,London,Lambeth,Vauxhall,SW8 1EJ,51.47979,-0.12264
Holy Trinity Church of England Primary School,London,London,Lambeth,Streatham,SW2 2RL,51.44704,-0.11876
St Helen's Catholic School,London,London,Lambeth,Vauxhall,SW9 0TQ,51.46713,-0.11431
Norwood School,London,London,Lambeth,Dulwich and West Norwood,SE19 3NY,51.42271,-0.09836
Lilian Baylis Technology School,London,London,Lambeth,Vauxhall,SE11 5QY,51.4862,-0.11934
Saint Gabriel's College,London,London,Lambeth,Vauxhall,SW9 6UL,51.47597,-0.10241
St Bernadette Catholic Junior School,London,London,Lambeth,Streatham,SW12 0AB,51.44791,-0.14478
St Anne's Catholic Primary School,London,London,Lambeth,Vauxhall,SE11 5JA,51.48512,-0.11882
St Bede's Catholic Infant School,London,London,Lambeth,Streatham,SW12 0LF,51.44494,-0.1352
St Andrew's Catholic Primary School,London,London,Lambeth,Streatham,SW16 2ET,51.42432,-0.12581
Immanuel and St Andrew Church of England Primary School,London,London,Lambeth,Streatham,SW16 5SL,51.41934,-0.13154
Reay Primary School,London,London,Lambeth,Vauxhall,SW9 0EN,51.4775,-0.11508
St Mary's Roman Catholic Primary School,London,London,Lambeth,Streatham,SW4 9QJ,51.45925,-0.13831
La Retraite Roman Catholic Girls' School,London,London,Lambeth,Streatham,SW12 0AB,51.44791,-0.14478
Bishop Thomas Grant Catholic Secondary School,London,London,Lambeth,Streatham,SW16 2HY,51.42497,-0.11873
London Nautical School,London,London,Lambeth,Vauxhall,SE1 9NA,51.50643,-0.10829
Turney Primary and Secondary Special School,London,London,Lambeth,Dulwich and West Norwood,SE21 8LX,51.44657,-0.09681
Lansdowne School,London,London,Lambeth,Vauxhall,SW9 9QG,51.46694,-0.11872
Elm Court School,London,London,Lambeth,Streatham,SW2 2EF,51.44794,-0.1166
Clyde Nursery School.,London,London,Lewisham,"Lewisham, Deptford",SE8 5NH,51.48467,-0.03457
Chelwood Nursery School,London,London,Lewisham,"Lewisham, Deptford",SE4 2QQ,51.45858,-0.04304
Adamsrill Primary School,London,London,Lewisham,Lewisham West and Penge,SE26 4AQ,51.43074,-0.04047
Athelney Primary School,London,London,Lewisham,Lewisham West and Penge,SE6 3LD,51.43372,-0.02443
Baring Primary School,London,London,Lewisham,Lewisham East,SE12 0NB,51.44445,0.01256
Beecroft Garden Primary,London,London,Lewisham,"Lewisham, Deptford",SE4 2BS,51.45683,-0.03776
Cooper's Lane Primary School,London,London,Lewisham,Lewisham East,SE12 0LF,51.43728,0.0212
Dalmain Primary School,London,London,Lewisham,"Lewisham, Deptford",SE23 1AS,51.44404,-0.04424
Deptford Park Primary School,London,London,Lewisham,"Lewisham, Deptford",SE8 5RJ,51.48731,-0.03684
Downderry Primary School,London,London,Lewisham,Lewisham East,BR1 5QL,51.4282,0.00037
Edmund Waller Primary School,London,London,Lewisham,"Lewisham, Deptford",SE14 5LY,51.47036,-0.04843
Elfrida Primary School,London,London,Lewisham,Lewisham West and Penge,SE6 3EN,51.42862,-0.02394
Forster Park Primary School,London,London,Lewisham,Lewisham East,SE6 1PQ,51.4342,0.00361
Gordonbrock Primary School,London,London,Lewisham,"Lewisham, Deptford",SE4 1HQ,51.45478,-0.02827
Grinling Gibbons Primary School,London,London,Lewisham,"Lewisham, Deptford",SE8 5LW,51.48113,-0.02961
Haseltine Primary School,London,London,Lewisham,Lewisham West and Penge,SE26 5AD,51.42819,-0.03656
Brindishe Green School,London,London,Lewisham,"Lewisham, Deptford",SE13 6EH,51.451,-0.00516
Holbeach Primary School,London,London,Lewisham,Lewisham East,SE6 4TP,51.4479,-0.02278
John Stainer Community Primary School,London,London,Lewisham,"Lewisham, Deptford",SE4 2DY,51.4642,-0.04073
Kelvin Grove Primary School,London,London,Lewisham,Lewisham West and Penge,SE26 6BB,51.43259,-0.06277
Kender Primary School,London,London,Lewisham,"Lewisham, Deptford",SE14 5JA,51.47495,-0.05081
Launcelot Primary School,London,London,Lewisham,Lewisham East,BR1 5EA,51.42674,0.016
Brindishe Manor School,London,London,Lewisham,Lewisham East,SE13 5LS,51.45235,0.00144
Lucas Vale Primary School,London,London,Lewisham,"Lewisham, Deptford",SE8 4QB,51.47178,-0.02849
Marvels Lane Primary School,London,London,Lewisham,Lewisham East,SE12 9RA,51.42917,0.03272
Rangefield Primary School,London,London,Lewisham,Lewisham East,BR1 4RP,51.42396,0.00416
Rathfern Primary School,London,London,Lewisham,Lewisham East,SE6 4NL,51.43992,-0.03248
Rushey Green Primary School,London,London,Lewisham,Lewisham East,SE6 2LA,51.44223,-0.01619
Sandhurst Primary School,London,London,Lewisham,Lewisham East,SE6 1NW,51.44311,-0.00039
Stillness Junior School,London,London,Lewisham,"Lewisham, Deptford",SE23 1NH,51.44949,-0.03889
Stillness Infant School,London,London,Lewisham,"Lewisham, Deptford",SE23 1NH,51.44949,-0.03889
Torridon Primary School,London,London,Lewisham,Lewisham East,SE6 1TG,51.43644,-0.00319
John Ball Primary School,London,London,Lewisham,Lewisham East,SE3 0TP,51.46618,0.00639
Fairlawn Primary School,London,London,Lewisham,Lewisham West and Penge,SE23 3SB,51.44646,-0.0547
Eliot Bank Primary School,London,London,Lewisham,Lewisham West and Penge,SE26 4BU,51.43647,-0.06104
Sir Francis Drake Primary School,London,London,Lewisham,"Lewisham, Deptford",SE8 5AE,51.48679,-0.04213
Myatt Garden Primary School,London,London,Lewisham,"Lewisham, Deptford",SE4 1DF,51.47103,-0.03087
Horniman Primary School,London,London,Lewisham,Lewisham West and Penge,SE23 3BP,51.44414,-0.05882
Perrymount Primary School,London,London,Lewisham,Lewisham West and Penge,SE23 2PX,51.43606,-0.04675
Ashmead Primary School,London,London,Lewisham,"Lewisham, Deptford",SE8 4DX,51.46964,-0.02589
Brindishe Lee School,London,London,Lewisham,Lewisham East,SE12 8NA,51.45194,0.00856
Kilmorie Primary School,London,London,Lewisham,Lewisham West and Penge,SE23 2SP,51.43772,-0.0402
All Saints' Church of England Primary School,London,London,Lewisham,Lewisham East,SE3 0TX,51.46933,0.0042
St Mary Magdalen's Catholic Primary School,London,London,Lewisham,"Lewisham, Deptford",SE4 2BB,51.45823,-0.03808
Good Shepherd RC School,London,London,Lewisham,Lewisham East,BR1 5EP,51.42684,0.00983
Holy Trinity Church of England Primary School,London,London,Lewisham,Lewisham West and Penge,SE23 3HZ,51.4353,-0.05673
St Margaret's Lee CofE Primary School,London,London,Lewisham,Lewisham East,SE13 5SG,51.4596,0.00507
St Augustine's Catholic Primary School and Nursery,London,London,Lewisham,Lewisham West and Penge,SE6 3RD,51.42436,-0.01669
St Bartholomews's Church of England Primary School,London,London,Lewisham,Lewisham West and Penge,SE26 4LJ,51.43099,-0.05514
St James's Hatcham Church of England Primary School,London,London,Lewisham,"Lewisham, Deptford",SE14 6AD,51.47421,-0.03882
St John Baptist Southend Church of England Primary School,London,London,Lewisham,Lewisham East,BR1 5RL,51.42846,-0.00987
St Joseph's Catholic Primary School,London,London,Lewisham,"Lewisham, Deptford",SE8 3PH,51.47875,-0.02426
St Mary's Lewisham Church of England Primary School,London,London,Lewisham,"Lewisham, Deptford",SE13 6NX,51.45503,-0.01539
St Michael's Church of England Primary School,London,London,Lewisham,Lewisham West and Penge,SE26 4HH,51.42975,-0.04178
Our Lady and St Philip Neri Roman Catholic Primary School,London,London,Lewisham,Lewisham West and Penge,SE26 5SE,51.42643,-0.04149
St Saviour's Catholic Primary School,London,London,Lewisham,"Lewisham, Deptford",SE13 6AL,51.45994,-0.01038
St Stephen's Church of England Primary School,London,London,Lewisham,"Lewisham, Deptford",SE8 4ED,51.47018,-0.02377
St William of York Catholic Primary School,London,London,Lewisham,"Lewisham, Deptford",SE23 1PS,51.4443,-0.03918
Holy Cross Catholic Primary School,London,London,Lewisham,Lewisham East,SE6 2LD,51.44284,-0.01682
Deptford Green School,London,London,Lewisham,"Lewisham, Deptford",SE14 6AN,51.47825,-0.03575
Sydenham School,London,London,Lewisham,Lewisham West and Penge,SE26 4RD,51.43423,-0.05892
Conisborough College,London,London,Lewisham,Lewisham East,SE6 2SE,51.43349,-0.01132
Sedgehill School,London,London,Lewisham,Lewisham West and Penge,SE6 3QW,51.42314,-0.02078
Forest Hill School,London,London,Lewisham,Lewisham West and Penge,SE23 2XN,51.43191,-0.0478
Prendergast Ladywell School,London,London,Lewisham,"Lewisham, Deptford",SE4 1SA,51.45164,-0.02977
Addey and Stanhope School,London,London,Lewisham,"Lewisham, Deptford",SE14 6TJ,51.47493,-0.02749
"Trinity Church of England School, Lewisham",London,London,Lewisham,Lewisham East,SE12 8PD,51.45521,0.00751
Prendergast School,London,London,Lewisham,"Lewisham, Deptford",SE4 1LE,51.45805,-0.02753
Bonus Pastor Catholic College,London,London,Lewisham,Lewisham East,BR1 5PZ,51.42768,-0.0017
Brent Knoll School,London,London,Lewisham,Lewisham West and Penge,SE23 2QU,51.43146,-0.039
New Woodlands School,London,London,Lewisham,Lewisham East,BR1 5PD,51.42905,0.00166
Greenvale School,London,London,Lewisham,Lewisham East,SE6 1UF,51.43297,0.00173
Watergate School,London,London,Lewisham,Lewisham West and Penge,SE6 3WG,51.42525,-0.02203
Kintore Way Nursery School and Children's Centre,London,London,Southwark,Bermondsey and Old Southwark,SE1 3BW,51.49437,-0.07607
Ann Bernadt Nursery School,London,London,Southwark,Camberwell and Peckham,SE15 6DT,51.4773,-0.078
Dulwich Wood Nursery School,London,London,Southwark,Dulwich and West Norwood,SE21 8QS,51.43032,-0.07969
Nell Gwynn Nursery School,London,London,Southwark,Camberwell and Peckham,SE15 2TT,51.4761,-0.06371
Grove Children & Family Centre,London,London,Southwark,Camberwell and Peckham,SE15 6BY,51.48038,-0.08286
Albion Primary School,London,London,Southwark,Bermondsey and Old Southwark,SE16 7JD,51.50007,-0.0517
Bellenden Primary School,London,London,Southwark,Camberwell and Peckham,SE15 4JP,51.46459,-0.06729
Camelot Primary School,London,London,Southwark,Camberwell and Peckham,SE15 1QP,51.48042,-0.06343
Charles Dickens Primary School,London,London,Southwark,Bermondsey and Old Southwark,SE1 1AF,51.50128,-0.09646
Cobourg Primary School,London,London,Southwark,Bermondsey and Old Southwark,SE5 0JD,51.48479,-0.07694
Comber Grove School,London,London,Southwark,Camberwell and Peckham,SE5 0LQ,51.47762,-0.09734
Crampton Primary,London,London,Southwark,Bermondsey and Old Southwark,SE17 3LE,51.48997,-0.10092
Crawford Primary School,London,London,Southwark,Camberwell and Peckham,SE5 9NF,51.47156,-0.09487
Dog Kennel Hill School,London,London,Southwark,Camberwell and Peckham,SE22 8AB,51.46539,-0.08288
Goodrich Community Primary School,London,London,Southwark,Dulwich and West Norwood,SE22 0EP,51.45084,-0.06856
Grange Primary School,London,London,Southwark,Bermondsey and Old Southwark,SE1 4RP,51.49557,-0.08211
Heber Primary School,London,London,Southwark,Dulwich and West Norwood,SE22 9LA,51.45325,-0.07362
Hollydale Primary School,London,London,Southwark,Camberwell and Peckham,SE15 2AR,51.4673,-0.05251
Ilderton Primary School,London,London,Southwark,Camberwell and Peckham,SE16 3LA,51.48517,-0.05352
Ivydale Primary School,London,London,Southwark,Camberwell and Peckham,SE15 3BU,51.46064,-0.04661
John Ruskin Primary School and Language Classes,London,London,Southwark,Camberwell and Peckham,SE5 0PQ,51.48214,-0.09897
Keyworth Primary School,London,London,Southwark,Bermondsey and Old Southwark,SE17 3TR,51.48583,-0.10513
Dulwich Wood Primary School,London,London,Southwark,Dulwich and West Norwood,SE21 8NS,51.43424,-0.0839
Lyndhurst Primary School,London,London,Southwark,Camberwell and Peckham,SE5 8SN,51.46953,-0.087
Michael Faraday School,London,London,Southwark,Camberwell and Peckham,SE17 2HR,51.48488,-0.08839
Riverside Primary School,London,London,Southwark,Bermondsey and Old Southwark,SE16 4PS,51.49915,-0.06389
Robert Browning Primary School,London,London,Southwark,Bermondsey and Old Southwark,SE17 1DQ,51.48941,-0.09331
Rotherhithe Primary School,London,London,Southwark,Bermondsey and Old Southwark,SE16 2PL,51.49157,-0.04986
Snowsfields Primary School,London,London,Southwark,Bermondsey and Old Southwark,SE1 3TD,51.50151,-0.08387
Southwark Park Primary School,London,London,Southwark,Bermondsey and Old Southwark,SE16 2JH,51.49462,-0.05895
Tower Bridge Primary School,London,London,Southwark,Bermondsey and Old Southwark,SE1 2AE,51.50158,-0.07701
Townsend Primary School,London,London,Southwark,Bermondsey and Old Southwark,SE17 1HJ,51.49257,-0.08449
Victory Primary School,London,London,Southwark,Bermondsey and Old Southwark,SE17 1PT,51.49293,-0.09283
Charlotte Sharman Primary School,London,London,Southwark,Bermondsey and Old Southwark,SE11 4SN,51.49527,-0.10616
Phoenix Primary School,London,London,Southwark,Bermondsey and Old Southwark,SE1 5JT,51.4862,-0.0674
Pilgrims' Way Primary School,London,London,Southwark,Camberwell and Peckham,SE15 1EF,51.48048,-0.05593
Alfred Salter Primary School,London,London,Southwark,Bermondsey and Old Southwark,SE16 7LP,51.4996,-0.04357
Oliver Goldsmith Primary School,London,London,Southwark,Camberwell and Peckham,SE5 8UH,51.47409,-0.08109
Boutcher Church of England Primary School,London,London,Southwark,Bermondsey and Old Southwark,SE1 3BW,51.49437,-0.07607
